P1,P2,P3,P4
Hele.nap.ecu,Hele.yur.per,Hmel.mal.col,Hmel.ama.per
Hele.nap.ecu,Hele.yur.per,Hmel.mal.col,Hmel.agl.per
Hele.nap.ecu,Hele.bar.gui,Hmel.mal.col,Hmel.mel.gui
Hele.nap.ecu,Hele.bar.gui,Hmel.mal.col,Hmel.the.gui
Hele.nap.ecu,Hele.bar.gui,Hmel.mal.col,Hmel.mer.gui
Hele.nap.ecu,Hele.tum.sur,Hmel.mal.col,Hmel.mel.gui
Hele.nap.ecu,Hele.tum.sur,Hmel.mal.col,Hmel.the.gui
Hele.nap.ecu,Hele.tum.sur,Hmel.mal.col,Hmel.mer.gui
Hele.nap.ecu,Hele.auy.ven,Hmel.mal.col,Hmel.mel.gui
Hele.nap.ecu,Hele.auy.ven,Hmel.mal.col,Hmel.the.gui
Hele.nap.ecu,Hele.auy.ven,Hmel.mal.col,Hmel.mer.gui
Hele.yur.per,Hele.bar.gui,Hmel.ama.per,Hmel.mel.gui
Hele.yur.per,Hele.bar.gui,Hmel.ama.per,Hmel.the.gui
Hele.yur.per,Hele.bar.gui,Hmel.ama.per,Hmel.mer.gui
Hele.yur.per,Hele.tum.sur,Hmel.ama.per,Hmel.mel.gui
Hele.yur.per,Hele.tum.sur,Hmel.ama.per,Hmel.the.gui
Hele.yur.per,Hele.tum.sur,Hmel.ama.per,Hmel.mer.gui
Hele.yur.per,Hele.auy.ven,Hmel.ama.per,Hmel.mel.gui
Hele.yur.per,Hele.auy.ven,Hmel.ama.per,Hmel.the.gui
Hele.yur.per,Hele.auy.ven,Hmel.ama.per,Hmel.mer.gui
Hele.yur.per,Hele.bar.gui,Hmel.agl.per,Hmel.mel.gui
Hele.yur.per,Hele.bar.gui,Hmel.agl.per,Hmel.the.gui
Hele.yur.per,Hele.bar.gui,Hmel.agl.per,Hmel.mer.gui
Hele.yur.per,Hele.tum.sur,Hmel.agl.per,Hmel.mel.gui
Hele.yur.per,Hele.tum.sur,Hmel.agl.per,Hmel.the.gui
Hele.yur.per,Hele.tum.sur,Hmel.agl.per,Hmel.mer.gui
Hele.yur.per,Hele.auy.ven,Hmel.agl.per,Hmel.mel.gui
Hele.yur.per,Hele.auy.ven,Hmel.agl.per,Hmel.the.gui
Hele.yur.per,Hele.auy.ven,Hmel.agl.per,Hmel.mer.gui
