pop1	Hpar.yur.per	Hpar.puc.per	Hpar.lam.per	Hpar.pmd.per	Hpar.let.col	Hpar.ben.bol	Hpar.ser.per	Hpar.car.bra	Hele.nap.ecu	Hele.yur.per	Hele.pbe.per	Hele.pmd.per	Hele.let.col	Hele.ben.bol	Hele.bar.gui	Hele.tum.sur	Hele.ron.bra	Hele.aut.bra	Hele.car.bra	Hele.lbm.bra	Hele.auy.ven	Hele.sfy.ven
Hpar.ore.ecu	599.270769	892.7776	1513.4798	1561.05274	829.8781	1824.3299	662.396593	1813.82004	173.288	605.945811	1099.859	1566.379408	829.8781	1942.7808	2758.8379	2257.6879	2223.6522	1877.57472	1813.82004	1796.22442	1692.3784	1816.189
Hpar.yur.per	0	325.5539	1004.40226	1071.011818	723.7307	1338.6074	64.826969	1765.39173	554.6697	6.679169	508.9416	1075.631464	723.7307	1450.4449	2919.9652	2461.6652	1863.9466	1840.65811	1765.39173	1770.80472	1997.6435	2079.264
Hpar.puc.per	325.55391	0	683.72586	755.148266	690.7489	1020.8776	283.927836	1643.29588	873.229	320.019357	221.5475	759.464334	690.7489	1130.2635	2875.9636	2451.5554	1584.4855	1721.33495	1643.29588	1660.8029	2058.8968	2113.7921
Hpar.lam.per	1004.402255	683.7259	0	92.373168	931.8714	338.9182	967.435993	1438.69519	1529.8992	999.440584	588.8199	93.748053	931.8714	446.5529	2751.4313	2420.8757	981.2395	1513.57699	1438.69519	1482.05008	2200.9222	2198.2184
Hpar.pmd.per	1071.011818	755.1483	92.37317	0	937.2314	268.0523	1037.37651	1372.87227	1586.0487	1066.336664	674.5014	5.670985	937.2314	383.3609	2685.9954	2366.8781	889.3279	1446.61322	1372.87227	1418.62956	2169.1604	2159.2199
Hpar.let.col	723.730662	690.7489	931.87145	937.231378	0	1160.1642	755.053042	1053.55402	940.4829	725.472665	874.8555	942.869386	0	1277.9625	2205.7028	1765.4828	1419.3844	1126.51721	1053.55402	1053.30007	1377.2639	1424.2612
Hpar.ben.bol	1338.607412	1020.8776	338.91824	268.052261	1160.1642	0	1303.942765	1406.35318	1853.0838	1333.867751	923.747	263.24962	1160.1642	119.7963	2705.1088	2431.436	704.6478	1473.70395	1406.35318	1460.79795	2302.2065	2272.5601
Hpar.ser.per	64.826969	283.9278	967.43599	1037.37651	755.053	1303.9428	0	1787.12891	611.3775	58.30534	452.6941	1041.816628	755.053	1413.9874	2957.4103	2503.9244	1846.8613	1863.11701	1787.12891	1794.8831	2049.0825	2127.3658
Hpar.car.bra	1765.391726	1643.2959	1438.69519	1372.872272	1053.554	1406.3532	1787.128914	0	1954.9061	1766.196339	1754.4665	1376.013568	1053.554	1472.3339	1313.167	1034.2935	1077.5033	78.55021	0	68.13176	1088.1974	987.51
Hele.nap.ecu	554.669682	873.229	1529.89922	1586.048712	940.4829	1853.0838	611.377455	1954.90613	0	560.998561	1063.3344	1591.129624	940.4829	1969.4012	2927.9182	2428.5799	2298.8315	2020.97907	1954.90613	1940.82664	1865.6569	1988.8663
